Player,Year,Team,Position,Games_Played,Min_Played,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Ruthie Bolton,1998,SAC,G,5,133,10.7,.391,.448,.483,4.7,5.3,9.4,2.5,0.0,9.1,27.1,0.0,0.1,0.0,.007
Karen Booker,1998,HOU,C,1,2,9.6,.000,.000,.000,0.0,0.0,0.0,28.1,0.0,0.0,23.9,0.0,0.0,0.0,-0.132
Kelly Boucher,1998,CHA,F,9,52,4.6,.298,.400,.267,4.8,15.4,6.3,1.0,0.0,15.2,17.6,-0.1,0.1,-0.1,-0.043
Carla Boyd,1998,DET,F,30,817,11.4,.417,.242,.292,7.4,8.6,15.6,1.8,1.0,15.1,19.2,0.4,0.9,1.4,.067
Albena Branzova,1998,NYL,F,11,94,5.1,.430,.160,.160,8.2,11.2,10.0,1.8,0.9,31.0,19.5,-0.2,0.1,-0.1,-0.042
Gergana Branzova,1998,DET,F,26,204,8.3,.467,.062,.308,7.6,12.2,6.9,0.8,1.6,22.2,21.1,-0.2,0.3,0.1,.022
Janice Braxton,1998,CLE,F,30,840,18.5,.561,.028,.468,6.5,13.5,16.5,3.3,1.5,20.3,18.9,1.9,1.7,3.6,.171
Razija Brcaninovic,1998,DET,C,30,695,16.4,.558,.000,.441,9.2,13.1,8.5,0.7,3.0,20.8,20.1,1.3,1.0,2.3,.134
Michelle Brogan,1998,PHO,F,30,779,18.5,.605,.125,.533,7.2,11.0,10.0,3.1,0.5,18.6,16.4,2.5,1.6,4.0,.206
Sandy Brondello,1998,DET,G,30,993,18.3,.516,.120,.283,2.1,5.2,20.4,2.1,0.1,13.4,21.8,3.2,1.0,4.2,.170
Cindy Brown,1998,DET,F,30,965,20.8,.556,.228,.425,8.6,18.5,10.7,2.9,1.8,17.4,18.1,2.7,2.6,5.3,.219
La'Shawn Brown,1998,WAS,C,22,272,5.2,.417,.000,.892,7.3,12.0,5.4,1.9,5.7,31.8,12.3,-0.5,0.1,-0.4,-0.062
Rushia Brown,1998,CLE,F,30,522,16.3,.550,.007,.612,9.6,12.0,9.9,3.5,2.6,21.7,20.8,0.9,1.0,1.9,.147
Vicky Bullett,1998,CHA,F,30,947,20.6,.493,.071,.234,8.1,12.6,9.8,3.8,3.9,13.7,23.0,1.8,2.3,4.2,.175
Heidi Burge,1998,WAS,F-C,30,501,12.0,.540,.044,.390,7.2,12.3,11.9,1.7,2.3,28.2,22.9,-0.3,-0.1,-0.4,-0.030
Linda Burgess,1998,SAC,F,30,692,15.4,.526,.042,.312,9.5,13.4,8.4,3.4,1.4,22.1,18.6,0.6,1.1,1.6,.095
Latasha Byears,1998,SAC,G-F,30,828,20.1,.485,.045,.230,12.7,15.3,9.0,2.9,1.4,13.9,28.8,1.4,1.2,2.5,.122
Deborah Carter,1998,WAS,G-F,29,434,4.6,.357,.340,.181,5.3,9.2,10.4,1.9,0.7,20.5,20.0,-1.1,-0.2,-1.3,-0.120
Elisabeth Cebrian,1998,NYL,C,22,187,3.7,.462,.000,.400,8.3,9.5,7.8,0.3,3.3,32.7,15.4,-0.3,0.2,-0.1,-0.027
Keri Chaconas,1998,WAS,G,30,397,7.0,.443,.709,.223,2.0,3.7,19.7,1.7,0.0,23.2,23.6,-0.5,-0.4,-0.9,-0.088
Sonia Chase,1998,CHA,G,23,166,8.1,.555,.000,.214,3.7,5.2,13.5,1.6,0.0,29.8,12.2,0.1,0.1,0.2,.046
Katrina Colleton,1998,LAS,F,30,575,6.6,.374,.192,.182,5.2,5.3,13.4,1.7,1.5,21.3,10.6,-0.2,0.2,0.0,.001
Andrea Congreaves,1998,CHA,F-C,24,372,15.4,.576,.630,.259,6.0,11.8,17.0,1.6,1.1,20.3,14.1,0.9,0.5,1.5,.161
Cynthia Cooper,1998,HOU,G,30,1051,31.1,.604,.352,.541,3.1,6.8,27.0,2.6,0.9,14.4,29.9,8.1,1.9,10.0,.382
Tamecka Dixon,1998,LAS,G,22,710,18.2,.536,.208,.399,2.2,4.7,15.6,1.8,0.9,14.6,24.6,2.3,0.3,2.6,.144
Nadine Domond,1998,SAC,G,9,92,8.4,.388,.485,.121,8.1,6.2,19.5,4.2,0.9,24.0,23.2,-0.2,0.1,-0.1,-0.048
Margo Dydek,1998,UTA,C,30,839,20.4,.538,.023,.419,6.0,16.2,13.5,0.9,10.7,23.1,25.4,0.6,1.2,1.8,.087
Michelle Edwards,1998,CLE,G,23,533,12.8,.481,.209,.307,1.7,6.6,22.8,2.3,0.2,19.9,20.9,0.2,0.5,0.8,.058
Allison Feaster,1998,LAS,F,3,41,-0.3,.336,.714,.143,2.9,2.9,12.4,2.6,0.0,21.2,20.6,-0.1,0.0,-0.1,-0.099
Isabelle Fijalkowski,1998,CLE,F-C,28,806,20.9,.611,.037,.397,10.8,16.1,15.0,1.1,2.8,20.5,23.6,2.8,1.2,4.0,.200
Kisha Ford,1998,NYL,G-F,30,471,13.2,.472,.080,.290,6.3,5.2,9.8,3.8,0.4,9.3,17.2,0.9,0.8,1.6,.139
Toni Foster,1998,PHO,F-C,16,218,18.5,.540,.000,.500,5.7,8.9,16.8,3.5,1.9,17.0,18.5,0.6,0.5,1.1,.195
Jennifer Gillom,1998,PHO,F-C,30,962,25.6,.540,.167,.396,8.1,14.7,10.6,2.8,0.8,13.3,31.8,3.7,2.3,6.0,.249
Bridgette Gordon,1998,SAC,F,22,253,2.6,.407,.127,.254,5.4,7.5,6.9,1.8,0.0,30.0,18.5,-0.8,0.1,-0.7,-0.115
Margo Graham,1998,WAS,C,10,49,6.4,.439,.000,.316,19.0,16.3,4.7,1.1,1.6,27.0,26.8,-0.1,0.0,-0.2,-0.136
Lady Grooms,1998,SAC,F,30,792,12.2,.548,.039,.610,5.8,6.4,11.8,1.4,0.3,21.0,14.6,1.2,0.1,1.3,.064
Wanda Guyton,1998,HOU,C,1,14,-10.3,.000,.000,.000,0.0,0.0,0.0,4.0,6.1,66.7,10.2,-0.1,0.0,-0.1,-0.216
Mikiko Hagiwara,1998,PHO,G,10,59,7.4,.493,.571,.143,0.0,2.2,9.9,0.0,0.0,18.3,21.2,0.0,0.0,0.0,.014
